YEAR,DWT[t],STORAGE[GWh],RATED OUTPUT[GW],STANDBY LAT,STANDBY LON,YEARLY POWER GENERATION[GWh],2018 POWER GENERATION[GWh]
2022,22734.177215189873,60.0,0.138,6,126,970.4223839838719,233.49580945225378
2022,22734.177215189873,60.0,0.138,6,127,970.7923071644213,233.56146421925996
2022,22734.177215189873,60.0,0.138,6,128,971.2321126678296,233.62259993140975
2022,22734.177215189873,60.0,0.138,6,129,971.583841524863,233.67941398604503
2022,22734.177215189873,60.0,0.138,6,130,971.9130579316903,233.73210190197972
2022,22734.177215189873,60.0,0.138,6,131,972.2188176242075,233.7808568238214
2022,22734.177215189873,60.0,0.138,6,132,972.5008440266163,233.82586893442632
2022,22734.177215189873,60.0,0.138,6,133,972.7186240522817,233.85436744169243
2022,22734.177215189873,60.0,0.138,6,134,965.7009890488783,233.8608576539419
2022,22734.177215189873,60.0,0.138,7,125,969.8975917990176,233.4192440777669
2022,22734.177215189873,60.0,0.138,7,126,969.7300637740261,233.489371148122
2022,22734.177215189873,60.0,0.138,7,127,970.0895686127835,233.55480836883282
2022,22734.177215189873,60.0,0.138,7,128,970.4546884763444,233.6157568336763
2022,22734.177215189873,60.0,0.138,7,129,970.911511400112,233.67241645405662
2022,22734.177215189873,60.0,0.138,7,130,971.2444785348725,233.72498554697904
2022,22734.177215189873,60.0,0.138,7,131,971.5528879740516,233.77366032781973
2022,22734.177215189873,60.0,0.138,7,132,971.8363147874047,233.8186342925427
2022,22734.177215189873,60.0,0.138,7,133,965.5738095817712,233.84395214725498
2022,22734.177215189873,60.0,0.138,7,134,965.7002924643443,233.8524668314846
2022,22734.177215189873,60.0,0.138,8,125,969.8537878897674,233.40984038015367
2022,22734.177215189873,60.0,0.138,8,126,969.6832935412083,233.47978466274913
2022,22734.177215189873,60.0,0.138,8,127,970.0567514513854,233.54506670231592
2022,22734.177215189873,60.0,0.138,8,128,970.429324111549,233.60588997735252
2022,22734.177215189873,60.0,0.138,8,129,970.788944256693,233.6624571423376
2022,22734.177215189873,60.0,0.138,8,130,971.1277333989574,233.71496963525652
2022,22734.177215189873,60.0,0.138,8,131,971.5412762011265,233.76362717921694
2022,22734.177215189873,60.0,0.138,8,132,971.8254852569486,233.8086271566498
2022,22734.177215189873,60.0,0.138,8,133,965.5640944372249,233.8325908467434
2022,22734.177215189873,60.0,0.138,8,134,965.6955636708722,233.8413489759197
2022,22734.177215189873,60.0,0.138,9,125,969.7936071796157,233.3970783392441
2022,22734.177215189873,60.0,0.138,9,126,970.2072513832334,233.46702645115312
2022,22734.177215189873,60.0,0.138,9,127,970.0269557053496,233.53221143801716
2022,22734.177215189873,60.0,0.138,9,128,970.3937253600016,233.59296676588502
2022,22734.177215189873,60.0,0.138,9,129,970.766582718723,233.6494980024763
2022,22734.177215189873,60.0,0.138,9,130,971.1107863875361,233.70200997498551
2022,22734.177215189873,60.0,0.138,9,131,971.420068737981,233.75070630649273
2022,22734.177215189873,60.0,0.138,9,132,971.8057452835109,233.79578881216776
2022,22734.177215189873,60.0,0.138,9,133,965.5502847067701,233.82020319087457
2022,22734.177215189873,60.0,0.138,9,134,965.6878376778458,233.82916887637663
