STORAGE[GWh],2017 POWER GENERATION[GWh],2018 POWER GENERATION[GWh],2019 POWER GENERATION[GWh],2020 POWER GENERATION[GWh],2021 POWER GENERATION[GWh],2022 POWER GENERATION[GWh]
205.0,146.0508372618387,267.99117736713436,234.16127791884827,121.81699877417633,203.1588307281106,169.09392123646955
210.0,145.7134962435719,261.24512710159667,237.71529252859068,121.47302821216442,192.11155901297656,168.1751177798167
215.0,145.3788222316396,264.98019605776227,241.93503069057857,121.13177706942885,196.41455579890632,170.57034143995682
220.0,145.04673283290845,265.0047872102857,245.96665198883923,120.79316133361759,200.05773016385945,170.31792959217768
225.0,144.71715000815192,255.00414797813804,248.3163756011229,120.4571014318498,192.36319482604748,170.06742292104957
230.0,144.38999975063,259.8823049900145,239.4549150329899,120.12352190297928,195.70153454491233,169.8187651761229
235.0,144.06521179484986,253.79674250444583,243.03626161641859,119.79235110063104,188.48033394007223,169.57190295056526
240.0,143.74271935209225,252.5746962202856,244.59740168458612,119.46352092353058,192.13307106029936,169.32678548014226
245.0,143.42245886973976,256.1965801114401,246.131139339626,119.13696657010222,196.45043439955134,169.0833644602901
250.0,143.10436981182343,259.0131096946003,238.9579031195482,118.81262631470294,198.78276357757892,168.84159387931476
255.0,142.78839445853146,263.8429613380335,229.848105321872,118.49044130319095,198.46760102304566,168.60142986600437
260.0,142.47447772270237,267.59369831290815,232.9674255449354,118.17035536581267,198.15449179049352,168.36283055015096
265.0,142.16256698156624,245.14027349233845,229.24752599114314,117.85231484563707,197.84338339251676,168.12575593466144
270.0,141.85261192220344,250.98697213889287,229.16629152939075,117.53626844097738,197.5342237836278,167.89016777809516
275.0,141.5445643993696,255.40109519966848,233.07005801554865,117.22216706042215,197.22696067269123,167.6560294866009
280.0,141.23837830449204,259.1541579424417,236.63826160932223,116.90996368925668,196.92155424977253,167.42330601434423
285.0,140.9340094447746,262.908534336791,240.87127600621096,116.59961326619276,196.61796043460828,167.19196377161904
290.0,140.63141543146997,267.3265937405374,232.52104497192747,116.2910725694445,196.3161369463898,166.96197053992614
295.0,140.3305555764765,247.71047713591852,236.09631452831613,115.98430011129335,196.01604320062347,166.73329539337942
300.0,140.03139079651035,253.80264068683567,240.33623282622466,115.67925604037713,195.71764021354716,166.50590862586975
