STORAGE[GWh],2017 POWER GENERATION[GWh],2018 POWER GENERATION[GWh],2019 POWER GENERATION[GWh],2020 POWER GENERATION[GWh],2021 POWER GENERATION[GWh],2022 POWER GENERATION[GWh]
125.0,142.874202663018,257.8355307380665,243.17216676137517,126.37865322259529,197.80779082495306,174.80642871199612
130.0,143.23319667576655,257.55760742071,244.0116903276976,126.05936041408164,197.5039853074283,177.20668177777537
135.0,142.93365678568543,257.28322549210634,244.40464574582907,125.74413613775047,197.2040509780178,176.95974873493716
140.0,142.6377931601479,257.01221106342155,234.30372403139435,125.43278062103609,196.90779775411988,176.71584631079148
145.0,142.34543170190008,256.7444046596011,235.01915814783555,125.12511065067474,196.61505130922632,176.47483098400411
150.0,142.05641224937904,256.4796595708411,239.2646902566178,124.82095767878876,196.32565127087076,176.23657072146904
155.0,141.77058703577669,256.2178404410734,242.8521466526232,124.52016620126436,206.58843070857134,176.00094370799985
160.0,141.48781936252752,255.95882205286523,246.74491288483927,128.76611217208162,206.29045317089032,175.76783725278688
165.0,141.20798245163513,255.70248827613742,249.04526024998412,128.46992302973547,205.99556403910998,175.53714684328455
170.0,140.93095844805444,255.4487311543351,252.5719335092116,123.63657332193192,205.70363911884945,168.92123977918487
175.0,140.656637548687,254.54192102680844,253.62226519808107,123.34788854287899,205.41456270078262,173.23090166272308
180.0,140.38491723877274,254.2929661833542,247.17131434813416,123.06194052428948,207.19061714151937,173.58050559640225
185.0,140.1157016198288,254.04630618104977,244.30345110699164,122.77862834628326,206.9085859760717,173.3358636135065
190.0,139.84890081599073,253.8018586740749,247.72835792872183,122.49785742695207,206.62908317195934,173.0934160246735
195.0,139.7636890247514,253.55954635250396,245.93424869803363,122.21953896858567,199.71818834454743,172.85308615247945
200.0,139.50441608060237,253.319296513543,249.53031085374602,121.94358946519725,199.46496899295076,172.6148018889398
205.0,139.24729502721158,253.0810406790464,239.3464718638061,121.66993026320543,199.2138512890377,172.3788457025625
210.0,138.9922561541574,252.84471425331319,239.17196398385914,121.39848716838101,198.96476715000924,172.14590854270745
215.0,138.73923360954578,252.61025621606612,242.8151767040001,121.12919009320484,198.7176522615037,171.9135668222684
220.0,138.48816510195428,248.59050884318955,247.12334711008333,120.86197273964049,198.47244578649978,171.6828527845369
225.0,138.23899163163102,248.33365201304719,250.74143750227654,120.59677231304389,198.2290808188426,171.45388015079106
230.0,137.9916572474922,248.07869097801932,254.06998455050785,120.33352926353098,197.98751167832003,172.36691967728652
235.0,137.7461088269375,247.82557097744973,253.54683694309117,120.07218705163034,197.74768687144325,172.5165895247385
240.0,137.50229587590067,247.57423996026833,253.20205785175014,119.81269193547351,197.50955708113807,172.31331229184246
245.0,137.26017034689556,247.32464839742616,252.8596649660324,119.55499277713709,197.9688373258063,172.11144193450357
250.0,137.01968647310323,247.07674911086684,252.5195935664792,119.29904086605849,197.70835688751094,171.9109402949773
255.0,136.7808006167952,246.83049711727577,252.18178194440634,119.04478975770981,197.4496073440492,171.7117709906323
260.0,136.54347113059742,246.58584948506598,251.8461712057161,118.79219512593801,197.1925427771849,171.51389929828053
