STORAGE[GWh],JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
60.0,45,849.8573004108883,117.3525576138249,192.02896954332235,188.65334697587,90.77604216157084,128.71526888966432,132.33111522663594
60.0,50,917.383657627838,120.93158017553982,194.90172339789086,207.51859201059818,97.57506750971613,144.7920018893569,151.66469264473614
60.0,55,942.7727846946566,134.50455331352762,204.4480888179699,191.21134508873394,109.29702779910953,160.70307701608212,142.6086926592335
60.0,60,989.5094511205356,131.10871999315296,228.27060622229328,211.07519484844573,121.01094685459573,162.64883497623518,135.39514822581268
60.0,65,990.6990093706748,141.56346161215492,211.29940848206812,212.21266420041044,100.12526841597149,178.1308007112387,147.3674059488313
60.0,70,986.7357868728889,120.61171500377826,217.3751754449267,209.99348220082973,106.35400586893067,182.01262539133435,150.38878296308923
60.0,75,1015.6822541801238,128.91089990521144,232.61103268712958,208.62849668577084,112.33481920820303,181.43352466393438,151.76348102987438
60.0,80,1018.0104155594627,136.78332218991147,211.77685443302954,224.37568045099002,123.38084523787577,181.0755118716099,140.61820137604607
60.0,85,1050.5883099780385,135.80121307117605,226.31355284798622,226.48114674921896,129.8125153232783,181.78700923151644,150.39287275486254
60.0,90,1067.3953203716785,139.35358445354092,241.4192045237941,223.46826224125323,134.01643487383205,178.71051595575838,150.4273183234998
60.0,95,1087.721145875498,145.71947972258266,256.30409555774344,218.49024201993998,114.45600505975474,193.66200250603015,159.08932100944696
60.0,100,1109.3723499556047,151.5263473193397,253.43667434900908,229.8932469202949,108.8467511943438,202.88592940308516,162.78340076953188
70.0,20,537.1041320304744,73.06406986628983,117.2107073098775,109.06718847602146,58.75951983995798,93.56967839560502,85.43296814272252
70.0,25,642.7786547695066,86.12280440644813,137.26903656040588,130.58046460039392,71.86672683100228,119.14318505531676,97.7964373159396
70.0,30,752.1212403096523,96.13524917096298,157.84317159536914,170.76570079856396,86.14491609813888,126.39069989363139,114.84150275298612
70.0,35,808.0873476104229,117.89689490732555,177.01594040552908,177.34320467449322,89.16713668081675,125.3591084663862,121.30506247587195
70.0,40,848.2119922837879,117.18057790273139,192.15387542498547,188.4394380394904,89.24241529901207,128.13485558272583,133.06083003484278
70.0,45,912.3723011815493,123.22746897476571,197.68714754652285,211.08099569187934,98.95073220158264,147.54817405966318,133.87778270713554
70.0,50,956.7283346655792,123.49541167649467,214.9309722660554,197.98573460805645,113.79912524501407,164.3529543935912,142.1641364763674
70.0,55,998.1416840840866,136.62973501085023,235.07587909710875,218.94641301522972,95.15407708433814,170.8854295427599,141.45015033379977
70.0,60,990.0343054050805,117.68219317343913,220.05180659590508,225.05144285758968,104.0643850757155,176.440171705981,146.7443059964502
70.0,65,1004.6778633318947,126.89958548165819,229.3538872451568,209.1027380586952,110.70948895806792,178.7120148095661,149.90014877875078
70.0,70,1019.0633993020393,137.19256670192658,211.62057361438448,223.80628624493562,123.80814391361098,181.56248336274217,141.07334546443946
70.0,75,1061.072204703591,137.47613063722815,229.31755759315828,228.77655942492356,130.08487152731306,183.72593738704705,151.69114813392085
70.0,80,1043.8296929510204,141.40375427048826,245.95158722965368,210.18066927613438,111.30248903667955,179.08455920547132,155.90663393259314
70.0,85,1089.4606635853274,148.0634068041684,246.9370201138674,223.93257100146354,113.09103124955907,198.9857493948093,158.45088502145984
70.0,90,1095.7392800454606,135.94553093971837,261.17521412335265,237.08495530229808,112.6817380573594,180.62288707812579,168.22895454460638
70.0,95,1093.486770434355,138.26813413808642,239.1950437956219,251.91524411852438,119.28966379487937,178.76480104805697,166.0538835391859
70.0,100,1109.1040436272901,137.10832055948484,251.64845539489235,241.1679657515048,122.97618221547373,184.42559658926135,171.77752311667294
80.0,20,566.9843539551521,82.84907967602157,126.18595869866847,109.71419339355484,58.25412985660318,92.22502595230759,97.75596637799661
80.0,25,699.2987400490979,97.0588334868103,151.63276672071783,148.9719230242672,79.06864797283151,123.71392202378198,98.85264682068913
80.0,30,768.7040246130871,107.70433220638476,164.00583665445112,163.07212733222983,81.70218897946206,125.83050662176467,126.38903281879462
