STORAGE[GWh],SUB JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh]
150.0,45,2270.115112417227
150.0,50,2257.622343824005
150.0,55,2284.4916217276277
150.0,60,2306.6215432535955
150.0,65,2306.834283309249
150.0,70,2347.1331510322657
150.0,75,2332.6151654847213
150.0,80,2260.351115919432
150.0,85,2248.3374759826734
150.0,90,2211.663046680519
150.0,95,2211.663046680519
