BASE LON,BASE LAT,STORAGE[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
135,30,240.0,144.07747832502687,238.19113204217936,225.01196225375506,110.54769601517111,198.5435497503074,167.58650375478794
155,20,250.0,132.05113556830443,247.10499959681982,246.05690785061998,111.77104496004713,191.73507131662765,170.54711336423193
150,20,250.0,133.72589313250393,252.52886938693194,245.12699408279175,114.17353127792049,198.763735385931,172.24030005230273
145,20,250.0,133.9576895328659,268.0654542247845,242.2048432361741,114.31065728507929,198.50977358786102,171.43407824289997
140,20,250.0,131.98848387706627,270.11413092578647,238.0265209439739,112.89151925635218,195.85631308739636,168.25529570573227
135,20,250.0,136.11242481894482,266.84680055029366,232.27043937922411,110.49547755033194,196.03128693656708,163.75000674334763
130,20,250.0,140.2189057941268,261.21784330956626,228.81175463218307,108.05323560298294,195.19803156527234,164.1831956184599
125,20,250.0,138.03968707251812,254.99125590778607,221.1696380605501,104.70678617961732,194.03074693726697,162.3758065027022
155,25,250.0,130.75967277722873,248.76845379016058,245.27069609912996,114.68269701353115,197.04627321324946,166.06611231845685
150,25,250.0,132.9773233994286,252.6898701560472,245.5021006994992,114.26603925054476,195.99956735760168,166.98362826334628
145,25,250.0,130.71170040228338,264.99395900967073,243.6685136832706,113.36385299004459,191.55283210392912,168.44814275232403
140,25,250.0,136.75842564977995,268.0540617802618,239.80825735758054,113.44879736603357,199.74445425947943,166.62368577812506
135,25,250.0,142.7457879882385,265.2992191860374,235.68529716914165,110.64547021622664,195.51019202861212,166.59272601170775
130,25,250.0,142.79746605827805,258.95094736945674,229.7843383755559,108.36910499623347,194.46592020826787,161.6748705861652
155,30,250.0,128.5785249083025,251.2166277633453,243.77931638983924,115.06150239009938,191.10029773009836,165.46991385126842
150,30,250.0,130.86559210062634,252.10039086619102,244.53712587408035,114.09061576539501,196.10929583494234,167.01469638855457
145,30,250.0,132.30924999392158,257.59714658395114,242.7208391257789,112.75497077664255,194.38488906116058,167.74733215624798
140,30,250.0,137.98337147978643,260.3871035491034,239.39551144925818,111.71587395439022,189.74289012106476,166.8870633135478
135,30,250.0,143.44801747650837,257.80725215221105,235.556316223936,109.94148127675521,194.0889591725466,165.0207067231477
155,20,260.0,131.44347712513567,253.6243272629041,245.22860451420615,111.11810740229636,199.51723229974,170.04361620270888
150,20,260.0,133.1605873516051,248.66012890875828,244.30866735844467,113.61666658682351,206.66473790693803,171.78026644769795
145,20,260.0,133.39838081371235,260.5994675687688,241.32784633929975,113.75662055022056,207.14244367219706,170.93616825849898
140,20,260.0,131.30998539268168,261.9959735558146,237.09324639667636,112.33499038467255,207.45772133903958,167.70965921056177
135,20,260.0,135.42065758908635,261.8660140485359,231.25684501520757,109.94549162879711,207.63461645434015,163.13918770059973
130,20,260.0,139.51345236800228,261.574796671866,227.76012412971045,107.5085973339116,206.7596336091049,163.65158641971541
125,20,260.0,137.2953331007348,254.37648545829987,220.07452905009262,104.1612566313083,205.576378891272,161.81483108598061
155,25,260.0,130.1189270839236,248.86988261784214,244.40565104198117,114.01940161005416,195.76763476289875,165.5154557392868
150,25,260.0,132.39330177280266,251.6771238391625,244.64245988611256,113.64301719569015,198.46015522623162,166.45670975674838
145,25,260.0,130.068633888306,260.6410732670505,242.76117704139028,112.76855977526769,190.90824949734065,167.9244962005189
140,25,260.0,136.11757864317292,263.16282873578683,238.852529348944,112.87277097570258,207.39441783216364,166.0867864305853
135,25,260.0,142.12301396836418,261.5655875521781,234.69145022505455,110.08227864932601,207.09692254379442,165.98690337172863
130,25,260.0,142.15901676511942,258.0761927750985,228.7406472922892,107.81587827858922,206.0219176497406,161.09560623981568
155,30,260.0,127.88134831950015,250.65881591724417,242.85861705994355,114.3566115632306,190.29103612828487,164.90417511404635
150,30,260.0,130.22758676360567,251.51404791805297,243.6360669491626,113.42881404031827,195.41048508687857,166.48858167987976
145,30,260.0,131.63994156511006,257.03296681548744,241.77253196678578,112.12714670120546,198.16487538660957,167.2226575659428
140,30,260.0,137.34086647019674,259.80934887557845,238.56064464154605,111.1122194163634,198.803494978839,166.35764646803932
135,30,260.0,142.82689631344417,257.17990610475175,234.6735343938127,109.3432982376071,198.44232989573695,164.37421262872195
155,20,270.0,130.84355994615905,253.2942105961067,244.410855686667,110.47348978597883,198.93112692926573,169.54653476478128
150,20,270.0,132.60248487971052,248.14085416862926,243.50076801775626,113.06689764563583,199.5587561930429,171.3260947399962
